"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 20 15:31:13 GMT 2021","Fri Aug 20 15:32:43 GMT 2021","90025","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","testDataList","TC17-Search/adatok listázása/teljes oldalbejárással",""
"passed","Fri Aug 20 15:31:07 GMT 2021","Fri Aug 20 15:31:08 GMT 2021","983","","homepage.HomePageTest","","homepage.HomePageTest","testPrivacyAndPolicyLink","TC13-Privacy Policy/link ,Adatkezelési nyilatkozat használata",""
"failed","Fri Aug 20 15:34:59 GMT 2021","Fri Aug 20 15:35:01 GMT 2021","2674","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchPagesTestListCheck2","TC20-Search/több oldalas lista bejárása/full list check",""
"failed","Fri Aug 20 15:30:59 GMT 2021","Fri Aug 20 15:31:01 GMT 2021","1440","","loginpage.LoginPageTest","","loginpage.LoginPageTest","invalidLoginCheck2","TC09-Bejelentkezés/invalid",""
"failed","Fri Aug 20 15:34:14 GMT 2021","Fri Aug 20 15:34:59 GMT 2021","44436","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchAllPagesCheck","TC27-Search/több oldalas lista összes oldala bejárása/full list check",""
"broken","Fri Aug 20 15:35:01 GMT 2021","Fri Aug 20 15:35:13 GMT 2021","11499","","createAccountPage.createAccountPageTest","","createAccountPage.createAccountPageTest","CreateAccountCheck","CreateAccountCheck()",""
"skipped","Fri Aug 20 15:31:13 GMT 2021","Fri Aug 20 15:31:13 GMT 2021","0","","sandboxPage.SandBoxPageTest","","sandboxPage.SandBoxPageTest","InputClearModifyData","InputClearModifyData()",""
"passed","Fri Aug 20 15:30:50 GMT 2021","Fri Aug 20 15:30:52 GMT 2021","1735","","loginpage.LoginPageTest","","loginpage.LoginPageTest","ZeroLogInTest2","TC11-Bejelentkezés/invalid/special characters",""
"broken","Fri Aug 20 15:35:34 GMT 2021","Fri Aug 20 15:35:56 GMT 2021","21278","","firstPage.FirstPageTest","","firstPage.FirstPageTest","LogoutTest","TC06-Kijelentkezés tesztelése",""
"broken","Fri Aug 20 15:35:13 GMT 2021","Fri Aug 20 15:35:34 GMT 2021","21403","","firstPage.FirstPageTest","","firstPage.FirstPageTest","LogoutTest2","TC07-Kijelentkezés tesztelése",""
"passed","Fri Aug 20 15:31:12 GMT 2021","Fri Aug 20 15:31:13 GMT 2021","1034","","homepage.HomePageTest","","homepage.HomePageTest","PrivacyPolicyUse","TC12-Privacy Policy/present,Adatkezelési nyilatkozat használata",""
"passed","Fri Aug 20 15:30:57 GMT 2021","Fri Aug 20 15:30:59 GMT 2021","1913","","loginpage.LoginPageTest","","loginpage.LoginPageTest","invalidLoginCheck","TC08-Bejelentkezés/invalid",""
"passed","Fri Aug 20 15:31:01 GMT 2021","Fri Aug 20 15:31:02 GMT 2021","1589","","homepage.HomePageTest","","homepage.HomePageTest","SearchDataLink","SearchDataLink()",""
"passed","Fri Aug 20 15:30:45 GMT 2021","Fri Aug 20 15:30:50 GMT 2021","5186","","loginpage.LoginPageTest","","loginpage.LoginPageTest","validLoginCheck2","TC05-Bejelentkezés/valid",""
"passed","Fri Aug 20 15:34:03 GMT 2021","Fri Aug 20 15:34:05 GMT 2021","2043","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchOnePageResultCheck","TC16-Search/adatok listázása/link szöveg ellenőrzéssel",""
"passed","Fri Aug 20 15:31:08 GMT 2021","Fri Aug 20 15:31:08 GMT 2021","969","","homepage.HomePageTest","","homepage.HomePageTest","SaveToFile2","TC25-Adatok lementése felületről2",""
"passed","Fri Aug 20 15:30:53 GMT 2021","Fri Aug 20 15:30:57 GMT 2021","3972","","loginpage.LoginPageTest","","loginpage.LoginPageTest","validLoginCheck","TC04-Bejelentkezés/valid",""
"passed","Fri Aug 20 15:34:05 GMT 2021","Fri Aug 20 15:34:08 GMT 2021","2859","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchPagesTestSearchFieldShortDataTest","TC19-Search/több oldalas lista bejárása/contains",""
"passed","Fri Aug 20 15:31:04 GMT 2021","Fri Aug 20 15:31:07 GMT 2021","2868","","homepage.HomePageTest","","homepage.HomePageTest","SearchInputClearModifyData","TC26- új adatok bevitele, meglévő adat módosítása és törlése",""
"skipped","Fri Aug 20 15:31:13 GMT 2021","Fri Aug 20 15:31:13 GMT 2021","0","","sandboxPage.SandBoxPageTest","","sandboxPage.SandBoxPageTest","repeatedData","repeatedData()",""
"failed","Fri Aug 20 15:34:11 GMT 2021","Fri Aug 20 15:34:14 GMT 2021","2920","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchPagesListCheck","TC21-Search/több oldalas lista bejárása/full list check",""
"passed","Fri Aug 20 15:31:08 GMT 2021","Fri Aug 20 15:31:10 GMT 2021","1945","","homepage.HomePageTest","","homepage.HomePageTest","SearchRepeatedDataCheckedWithAllData","TC24-Search/ismételt és sorozatos adatbevitel adatforrásból",""
"passed","Fri Aug 20 15:32:43 GMT 2021","Fri Aug 20 15:34:01 GMT 2021","78215","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","testDataListNumber","TC18-Search/adatok listázása/teljes oldalbejárással/találatok száma",""
"skipped","Fri Aug 20 15:35:13 GMT 2021","Fri Aug 20 15:35:13 GMT 2021","0","","firstPage.FirstPageTest","","firstPage.FirstPageTest","SaveToFile","TC25-Adatok lementése felületről",""
"passed","Fri Aug 20 15:31:02 GMT 2021","Fri Aug 20 15:31:04 GMT 2021","1260","","homepage.HomePageTest","","homepage.HomePageTest","pageCheckCreateAccount","pageCheckCreateAccount()",""
"passed","Fri Aug 20 15:35:56 GMT 2021","Fri Aug 20 15:35:57 GMT 2021","1072","","privacyPolicy.PrivacyPolicyTest","","privacyPolicy.PrivacyPolicyTest","PrivacyTestSummaryCheck","TC15-Privacy Policy/tartalom,Adatkezelési nyilatkozat használata",""
"passed","Fri Aug 20 15:30:52 GMT 2021","Fri Aug 20 15:30:53 GMT 2021","1593","","loginpage.LoginPageTest","","loginpage.LoginPageTest","ZeroLogInTest","TC10-Bejelentkezés/invalid/special characters",""
"passed","Fri Aug 20 15:34:01 GMT 2021","Fri Aug 20 15:34:03 GMT 2021","2557","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchMorePagesTest2","TC22-Search/több oldalas lista bejárása/page check",""
"passed","Fri Aug 20 15:34:08 GMT 2021","Fri Aug 20 15:34:11 GMT 2021","3066","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchPagesContainsCheck","TC23-Search/több oldalas lista bejárása/contains",""
"passed","Fri Aug 20 15:35:57 GMT 2021","Fri Aug 20 15:35:58 GMT 2021","991","","privacyPolicy.PrivacyPolicyTest","","privacyPolicy.PrivacyPolicyTest","PrivacyTestVersionCheck","TC14-Privacy Policy/verzió,Adatkezelési nyilatkozat használata",""
"passed","Fri Aug 20 15:31:10 GMT 2021","Fri Aug 20 15:31:12 GMT 2021","1110","","homepage.HomePageTest","","homepage.HomePageTest","pageCheckLogin","pageCheckLogin()",""
